Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"DNAJC13","DnaJ Heat Shock Protein Family (Hsp40) Member C13","Protein Coding","O75165","52","GC03P132417","4.37651062011719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC13"
"RBM45","RNA Binding Motif Protein 45","Protein Coding","Q8IUH3","45","GC02P178112","4.36891651153564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM45"
"PER3","Period Circadian Regulator 3","Protein Coding","P56645","54","GC01P075169","4.36880350112915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PER3"
"XPNPEP3","X-Prolyl Aminopeptidase 3","Protein Coding","Q9NQH7","54","GC22P040857","4.3684868812561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XPNPEP3"
"COL6A2","Collagen Type VI Alpha 2 Chain","Protein Coding","P12110","58","GC21P046098","4.36491203308105","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL6A2"
"SNHG14","Small Nucleolar RNA Host Gene 14","RNA Gene","","25","GC15P192315","4.35862636566162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG14"
"PPBP","Pro-Platelet Basic Protein","Protein Coding","P02775","55","GC04M073986","4.35764503479004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPBP"
"S100A12","S100 Calcium Binding Protein A12","Protein Coding","P80511","50","GC01M153373","4.35764503479004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A12"
"GGT1","Gamma-Glutamyltransferase 1","Protein Coding","P19440","62","GC22P024583","4.35499000549316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT1"
"KLK1","Kallikrein 1","Protein Coding","P06870","60","GC19M050819","4.35300540924072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK1"
"VTI1A","Vesicle Transport Through Interaction With T-SNAREs 1A","Protein Coding","Q96AJ9","51","GC10P112446","4.35300540924072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTI1A"
"SP3","Sp3 Transcription Factor","Protein Coding","Q02447","55","GC02M173882","4.35265302658081","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP3"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","P21912","61","GC01M022674","4.35196113586426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"CHRFAM7A","CHRNA7 (Exons 5-10) And FAM7A (Exons A-E) Fusion","Protein Coding","Q494W8","45","GC15M030360","4.34898805618286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRFAM7A"
"GALR3","Galanin Receptor 3","Protein Coding","O60755","55","GC22P092118","4.34019613265991","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALR3"
"ANXA2","Annexin A2","Protein Coding","P07355","60","GC15M060347","4.33310508728027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA2"
"NISCH","Nischarin","Protein Coding","Q9Y2I1","57","GC03P052455","4.33228397369385","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NISCH"
"MIR148B","MicroRNA 148b","RNA Gene","","30","GC12P054337","4.33066177368164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR148B"
"MAP4K4","Mitogen-Activated Protein Kinase Kinase Kinase Kinase 4","Protein Coding","O95819","59","GC02P101696","4.3286566734314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP4K4"
"AGTR1","Angiotensin II Receptor Type 1","Protein Coding","P30556","65","GC03P148697","4.32803297042847","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1"
"CISD2","CDGSH Iron Sulfur Domain 2","Protein Coding","Q8N5K1","53","GC04P102868","4.32428121566772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CISD2"
"MIR137","MicroRNA 137","RNA Gene","","27","GC01M098046","4.32423973083496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR137"
"MARK1","Microtubule Affinity Regulating Kinase 1","Protein Coding","Q9P0L2","53","GC01P220528","4.31872320175171","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARK1"
"LRP10","LDL Receptor Related Protein 10","Protein Coding","Q7Z4F1","51","GC14P022871","4.31712770462036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP10"
"VWF","Von Willebrand Factor","Protein Coding","P04275","61","GC12M035631","4.31609535217285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF"
"HRH1","Histamine Receptor H1","Protein Coding","P35367","58","GC03P027032","4.31010770797729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH1"
"MIR126","MicroRNA 126","RNA Gene","","31","GC09P136670","4.30652189254761","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"MIR27B","MicroRNA 27b","RNA Gene","","30","GC09P107001","4.30530118942261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27B"
"DCN","Decorin","Protein Coding","P07585","60","GC12M091140","4.30220127105713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCN"
"JPH3","Junctophilin 3","Protein Coding","Q8WXH2","54","GC16P087601","4.29651498794556","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JPH3"
"FTH1","Ferritin Heavy Chain 1","Protein Coding","P02794","63","GC11M061959","4.29589557647705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTH1"
"SUMO1","Small Ubiquitin Like Modifier 1","Protein Coding","P63165","59","GC02M202206","4.29524326324463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMO1"
"ANXA6","Annexin A6","Protein Coding","P08133","55","GC05M151100","4.28331136703491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA6"
"MAP3K11","Mitogen-Activated Protein Kinase Kinase Kinase 11","Protein Coding","Q16584","57","GC11M139781","4.26979780197144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K11"
"JAM2","Junctional Adhesion Molecule 2","Protein Coding","P57087","52","GC21P025639","4.26144075393677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAM2"
"AVP","Arginine Vasopressin","Protein Coding","P01185","58","GC20M003082","4.25961542129517","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AVP"
"HSPA8","Heat Shock Protein Family A (Hsp70) Member 8","Protein Coding","P11142","62","GC11M123057","4.24561405181885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA8"
"RBMX","RNA Binding Motif Protein X-Linked","Protein Coding","P38159","54","GC0XM136848","4.23393440246582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMX"
"PDE4DIP","Phosphodiesterase 4D Interacting Protein","Protein Coding","Q5VU43","51","GC01P148808","4.23393440246582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE4DIP"
"XRCC1","X-Ray Repair Cross Complementing 1","Protein Coding","P18887","58","GC19M043543","4.23342561721802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC1"
"PDE4A","Phosphodiesterase 4A","Protein Coding","P27815","57","GC19P010416","4.21666669845581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE4A"
"VDR","Vitamin D Receptor","Protein Coding","P11473","61","GC12M047841","4.21553754806519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR"
"IRF7","Interferon Regulatory Factor 7","Protein Coding","Q92985","60","GC11M000612","4.21435403823853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF7"
"PDLIM3","PDZ And LIM Domain 3","Protein Coding","Q53GG5","50","GC04M185500","4.21435403823853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDLIM3"
"TRIM9","Tripartite Motif Containing 9","Protein Coding","Q9C026","50","GC14M050975","4.21435403823853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM9"
"SFTPD","Surfactant Protein D","Protein Coding","P35247","57","GC10M079937","4.21373462677002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPD"
"CD44","CD44 Molecule (IN Blood Group)","Protein Coding","P16070","61","GC11P035139","4.20766735076904","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44"
"PPP2R2B","Protein Phosphatase 2 Regulatory Subunit Bbeta","Protein Coding","Q00005","58","GC05M146582","4.20765066146851","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R2B"
"PPIA","Peptidylprolyl Isomerase A","Protein Coding","P62937","58","GC07P045440","4.2020583152771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIA"
"HAMP","Hepcidin Antimicrobial Peptide","Protein Coding","P81172","56","GC19P152385","4.19139099121094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAMP"
"CD4","CD4 Molecule","Protein Coding","P01730","63","GC12P006786","4.18356657028198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4"
"PTPN11","Protein Tyrosine Phosphatase Non-Receptor Type 11","Protein Coding","Q06124","67","GC12P112418","4.18128204345703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN11"
"EDAR","Ectodysplasin A Receptor","Protein Coding","Q9UNE0","53","GC02M108894","4.17514944076538","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDAR"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","P21802","68","GC10M121478","4.16116237640381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"CLIC1","Chloride Intracellular Channel 1","Protein Coding","O00299","55","GC06M106487","4.14277982711792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLIC1"
"MEF2C","Myocyte Enhancer Factor 2C","Protein Coding","Q06413","62","GC05M088718","4.13674449920654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEF2C"
"SNCAIP","Synuclein Alpha Interacting Protein","Protein Coding","Q9Y6H5","57","GC05P122311","4.1236834526062","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCAIP"
"SLC25A27","Solute Carrier Family 25 Member 27","Protein Coding","O95847","51","GC06P046652","4.11439418792725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A27"
"GSAP","Gamma-Secretase Activating Protein","Protein Coding","A4D1B5","46","GC07M077310","4.10713720321655","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSAP"
"ALS2","Alsin Rho Guanine Nucleotide Exchange Factor ALS2","Protein Coding","Q96Q42","56","GC02M201776","4.10583543777466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALS2"
"CYLD","CYLD Lysine 63 Deubiquitinase","Protein Coding","Q9NQC7","61","GC16P050742","4.10140562057495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYLD"
"MIR25","MicroRNA 25","RNA Gene","","29","GC07M100093","4.10140562057495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR25"
"MIR1246","MicroRNA 1246","RNA Gene","","22","GC02M176600","4.10140562057495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1246"
"TNNI3","Troponin I3, Cardiac Type","Protein Coding","P19429","61","GC19M055151","4.09934663772583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNI3"
"CYP19A1","Cytochrome P450 Family 19 Subfamily A Member 1","Protein Coding","P11511","61","GC15M051208","4.09628057479858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1"
"MS4A4E","Membrane Spanning 4-Domains A4E","Protein Coding","Q96PG1","35","GC11M139570","4.08906841278076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MS4A4E"
"MIR99A","MicroRNA 99a","RNA Gene","","30","GC21P016539","4.08151578903198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR99A"
"TAC1","Tachykinin Precursor 1","Protein Coding","P20366","54","GC07P097734","4.08037376403809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAC1"
"APP-DT","APP Divergent Transcript","RNA Gene","","11","GC21P026202","4.0763897895813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP-DT"
"MYORG","Myogenesis Regulating Glycosidase","Protein Coding","Q6NSJ0","48","GC09M034366","4.07132291793823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYORG"
"EFHD2","EF-Hand Domain Family Member D2","Protein Coding","Q96C19","49","GC01P015409","4.07100868225098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFHD2"
"CHCHD2","Coiled-Coil-Helix-Coiled-Coil-Helix Domain Containing 2","Protein Coding","Q9Y6H1","50","GC07M080511","4.06451272964478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHCHD2"
"LIPG","Lipase G, Endothelial Type","Protein Coding","Q9Y5X9","57","GC18P049560","4.05728340148926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPG"
"SRSF6","Serine And Arginine Rich Splicing Factor 6","Protein Coding","Q13247","52","GC20P043457","4.05243301391602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF6"
"DAPK1","Death Associated Protein Kinase 1","Protein Coding","P53355","62","GC09P087497","4.0378885269165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAPK1"
"F5","Coagulation Factor V","Protein Coding","P12259","60","GC01M169511","4.03765821456909","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F5"
"KIF11","Kinesin Family Member 11","Protein Coding","P52732","61","GC10P092574","4.03702974319458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF11"
"GADD45A","Growth Arrest And DNA Damage Inducible Alpha","Protein Coding","P24522","55","GC01P067685","4.03647994995117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GADD45A"
"TMEM175","Transmembrane Protein 175","Protein Coding","Q9BSA9","45","GC04P000932","4.03508234024048","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM175"
"IL18R1","Interleukin 18 Receptor 1","Protein Coding","Q13478","56","GC02P102311","4.02742624282837","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18R1"
"TRIM25","Tripartite Motif Containing 25","Protein Coding","Q14258","57","GC17M056836","4.00988960266113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM25"
"STX12","Syntaxin 12","Protein Coding","Q86Y82","49","GC01P076511","4.00988960266113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX12"
"FLNC","Filamin C","Protein Coding","Q14315","57","GC07P128830","4.00206518173218","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNC"
"ADNP","Activity Dependent Neuroprotector Homeobox","Protein Coding","Q9H2P0","55","GC20M050888","4.00058794021606","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADNP"
"ATP1B1","ATPase Na+/K+ Transporting Subunit Beta 1","Protein Coding","P05026","61","GC01P169105","3.98780870437622","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1B1"
"MLXIPL","MLX Interacting Protein Like","Protein Coding","Q9NP71","55","GC07M073593","3.98452877998352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLXIPL"
"COLEC12","Collectin Subfamily Member 12","Protein Coding","Q5KU26","50","GC18M000318","3.97283840179443","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COLEC12"
"TJP1","Tight Junction Protein 1","Protein Coding","Q07157","58","GC15M029699","3.97198271751404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TJP1"
"KLK7","Kallikrein Related Peptidase 7","Protein Coding","P49862","54","GC19M109134","3.96760869026184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK7"
"RETREG1","Reticulophagy Regulator 1","Protein Coding","Q9H6L5","50","GC05M016650","3.96760869026184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETREG1"
"MPP7","MAGUK P55 Scaffold Protein 7","Protein Coding","Q5T2T1","47","GC10M028576","3.96412110328674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPP7"
"MIR148A","MicroRNA 148a","RNA Gene","","29","GC07M025950","3.9544460773468","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR148A"
"SPON1","Spondin 1","Protein Coding","Q9HCB6","49","GC11P021260","3.9496021270752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPON1"
"PCSK7","Proprotein Convertase Subtilisin/Kexin Type 7","Protein Coding","Q16549","55","GC11M140591","3.94526529312134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK7"
"PER1","Period Circadian Regulator 1","Protein Coding","O15534","54","GC17M096232","3.94526529312134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PER1"
"SRSF9","Serine And Arginine Rich Splicing Factor 9","Protein Coding","Q13242","53","GC12M120461","3.94526529312134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF9"
"NRXN3","Neurexin 3","Protein Coding","Q9Y4C0","56","GC14P078170","3.94518327713013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRXN3"
"PML","PML Nuclear Body Scaffold","Protein Coding","P29590","59","GC15P073994","3.91990447044373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PML"
"TFG","Trafficking From ER To Golgi Regulator","Protein Coding","Q92734","55","GC03P100709","3.91990447044373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFG"
"PCBP2","Poly(RC) Binding Protein 2","Protein Coding","Q15366","54","GC12P053452","3.91990447044373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCBP2"
"SRSF4","Serine And Arginine Rich Splicing Factor 4","Protein Coding","Q08170","52","GC01M029147","3.91990447044373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF4"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","P42224","65","GC02M190908","3.91784524917603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"PYY","Peptide YY","Protein Coding","P10082","56","GC17M043952","3.91784524917603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYY"
"TRPM7","Transient Receptor Potential Cation Channel Subfamily M Member 7","Protein Coding","Q96QT4","56","GC15M050552","3.91784524917603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM7"
"HLCS","Holocarboxylase Synthetase","Protein Coding","P50747","56","GC21M036750","3.9155604839325","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLCS"
"CNTNAP2","Contactin Associated Protein 2","Protein Coding","Q9UHC6","58","GC07P146116","3.90608191490173","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTNAP2"
"MIR331","MicroRNA 331","RNA Gene","","28","GC12P095308","3.90464210510254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR331"
"MIR663A","MicroRNA 663a","RNA Gene","","23","GC20M026208","3.90358853340149","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR663A"
"PRKCD","Protein Kinase C Delta","Protein Coding","Q05655","65","GC03P053156","3.90266537666321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCD"
"RETN","Resistin","Protein Coding","Q9HD89","55","GC19P007669","3.88982152938843","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETN"
"ADA","Adenosine Deaminase","Protein Coding","P00813","64","GC20M044620","3.88776254653931","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA"
"CD9","CD9 Molecule","Protein Coding","P21926","57","GC12P074024","3.88776254653931","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD9"
"TJP2","Tight Junction Protein 2","Protein Coding","Q9UDY2","57","GC09P069121","3.88776254653931","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TJP2"
"CHRNA2","Cholinergic Receptor Nicotinic Alpha 2 Subunit","Protein Coding","Q15822","61","GC08M027459","3.88370227813721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA2"
"CD320","CD320 Molecule","Protein Coding","Q9NPF0","52","GC19M008302","3.8776216506958","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD320"
"DPP7","Dipeptidyl Peptidase 7","Protein Coding","Q9UHL4","52","GC09M139299","3.86104512214661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP7"
"NOVA2","NOVA Alternative Splicing Regulator 2","Protein Coding","Q9UNW9","50","GC19M045933","3.85833191871643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOVA2"
"DLG2","Discs Large MAGUK Scaffold Protein 2","Protein Coding","Q15700","55","GC11M083455","3.84868264198303","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLG2"
"GLS2","Glutaminase 2","Protein Coding","Q9UI32","54","GC12M056470","3.84855794906616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLS2"
"TRA-TGC7-1","TRNA-Ala (Anticodon TGC) 7-1","RNA Gene","","14","GC06M106311","3.84591436386108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRA-TGC7-1"
"PROC","Protein C, Inactivator Of Coagulation Factors Va And VIIIa","Protein Coding","P04070","65","GC02P127418","3.83568429946899","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROC"
"KLK10","Kallikrein Related Peptidase 10","Protein Coding","O43240","51","GC19M051012","3.83568429946899","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK10"
"ECHDC3","Enoyl-CoA Hydratase Domain Containing 3","Protein Coding","Q96DC8","42","GC10P011742","3.82430529594421","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECHDC3"
"APLNR","Apelin Receptor","Protein Coding","P35414","57","GC11M057233","3.81912732124329","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APLNR"
"CSMD1","CUB And Sushi Multiple Domains 1","Protein Coding","Q96PZ7","49","GC08M003093","3.81175684928894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSMD1"
"RAB29","RAB29, Member RAS Oncogene Family","Protein Coding","O14966","47","GC01M205768","3.80833435058594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB29"
"SPINT2","Serine Peptidase Inhibitor, Kunitz Type 2","Protein Coding","O43291","55","GC19P038244","3.80625367164612","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINT2"
"VKORC1","Vitamin K Epoxide Reductase Complex Subunit 1","Protein Coding","Q9BQB6","62","GC16M051194","3.8056013584137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VKORC1"
"COMP","Cartilage Oligomeric Matrix Protein","Protein Coding","P49747","60","GC19M108410","3.8056013584137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMP"
"POLB","DNA Polymerase Beta","Protein Coding","P06746","59","GC08P042338","3.8056013584137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLB"
"PABPN1","Poly(A) Binding Protein Nuclear 1","Protein Coding","Q86U42","57","GC14P059824","3.8056013584137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPN1"
"STING1","Stimulator Of Interferon Response CGAMP Interactor 1","Protein Coding","Q86WV6","55","GC05M139501","3.8056013584137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STING1"
"TSC22D3","TSC22 Domain Family Member 3","Protein Coding","Q99576","52","GC0XM107713","3.8056013584137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC22D3"
"ADAMTS4","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 4","Protein Coding","O75173","57","GC01M161184","3.77335500717163","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS4"
"RBFOX1","RNA Binding Fox-1 Homolog 1","Protein Coding","Q9NWB1","52","GC16P120267","3.76796531677246","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBFOX1"
"CCL7","C-C Motif Chemokine Ligand 7","Protein Coding","P80098","55","GC17P034270","3.76639676094055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL7"
"SAR1B","Secretion Associated Ras Related GTPase 1B","Protein Coding","Q9Y6B6","54","GC05M134601","3.76639676094055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAR1B"
"PIAS2","Protein Inhibitor Of Activated STAT 2","Protein Coding","O75928","53","GC18M046808","3.76639676094055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIAS2"
"IFT74","Intraflagellar Transport 74","Protein Coding","Q96LB3","48","GC09P026947","3.76639676094055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT74"
"ITM2A","Integral Membrane Protein 2A","Protein Coding","O43736","47","GC0XM079360","3.76639676094055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITM2A"
"CMKLR2","Chemerin Chemokine-Like Receptor 2","Protein Coding","P46091","44","GC02M206176","3.76639676094055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMKLR2"
"MIR495","MicroRNA 495","RNA Gene","","25","GC14P121385","3.76639676094055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR495"
"PIK3R2","Phosphoinositide-3-Kinase Regulatory Subunit 2","Protein Coding","O00459","62","GC19P018153","3.76356506347656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R2"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","P12931","64","GC20P037344","3.75817370414734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P124078","3.74403309822083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"BTNL2","Butyrophilin Like 2","Protein Coding","Q9UIR0","52","GC06M032393","3.74215626716614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTNL2"
"AKT2","AKT Serine/Threonine Kinase 2","Protein Coding","P31751","67","GC19M040230","3.73820400238037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2"
"MTM1","Myotubularin 1","Protein Coding","Q13496","56","GC0XP150562","3.72217178344727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTM1"
"PCK1","Phosphoenolpyruvate Carboxykinase 1","Protein Coding","P35558","60","GC20P057561","3.7213978767395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCK1"
"RNF212","Ring Finger Protein 212","Protein Coding","Q495C1","47","GC04M006262","3.71490693092346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF212"
"DMPK","DM1 Protein Kinase","Protein Coding","Q09013","61","GC19M045769","3.70295166969299","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMPK"
"PRDX6","Peroxiredoxin 6","Protein Coding","P30041","59","GC01P173477","3.69227290153503","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX6"
"DMD","Dystrophin","Protein Coding","P11532","58","GC0XM031097","3.69184613227844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMD"
"KIF5B","Kinesin Family Member 5B","Protein Coding","P33176","60","GC10M037181","3.66734194755554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF5B"
"ITM2C","Integral Membrane Protein 2C","Protein Coding","Q9NQX7","48","GC02P230864","3.66635489463806","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITM2C"
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","P04439","59","GC06P181854","3.66132426261902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"HDAC1","Histone Deacetylase 1","Protein Coding","Q13547","63","GC01P032292","3.6513500213623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1"
"MT-ATP6","Mitochondrially Encoded ATP Synthase Membrane Subunit 6","Protein Coding","P00846","44","GCMTP008531","3.65036249160767","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ATP6"
"MIR323A","MicroRNA 323a","RNA Gene","","27","GC14P121359","3.64523243904114","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR323A"
"HSPD1","Heat Shock Protein Family D (Hsp60) Member 1","Protein Coding","P10809","61","GC02M197486","3.62665724754333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPD1"
"VPS13C","Vacuolar Protein Sorting 13 Homolog C","Protein Coding","Q709C8","45","GC15M061852","3.62604141235352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13C"
